key,mean,lower,upper,n.subj,n.item,seed
b_syntax_dev1:trial_dev1,0.031309184304691595,-0.24472913313889533,0.3001249136181505,350,8,7
b_trial_dev1,0.12726385997395348,-0.32272256275597616,0.5768968908239991,350,8,7
critical_pred,2.3064070505058814,1.5781679519528444,3.07159904492543,350,8,7
critical_subj,3.6057403074423093,2.822525725572849,4.45806683234367,350,8,7
filler_pred,2.4983164018444053,1.7425386137715908,3.278010744319309,350,8,7
filler_subj,3.9228863959995994,3.097766223450718,4.818616439958728,350,8,7
syntax_critical,1.2993332569364278,0.6743150335640109,1.9745538419097528,350,8,7
syntax_filler,1.4245699941551941,0.7555496938917193,2.1243010149752903,350,8,7
b_Intercept,4.025390479509235,3.28174664413896,4.848693556277403,350,8,8
b_syntax_dev1,1.098519708729654,0.8421918736391332,1.3760050842856395,350,8,8
b_syntax_dev1:trial_dev1,0.0664621005158265,-0.1864872079688865,0.32419594877772856,350,8,8
b_trial_dev1,0.0458718428913225,-0.2594724977836715,0.3590340882904894,350,8,8
critical_pred,2.9474610284040845,2.1847259270478863,3.790877292348705,350,8,8
critical_subj,5.01157624483174,4.072001300739931,6.077372692173884,350,8,8
filler_pred,2.9062805131550764,2.1467903978623344,3.7487220992591426,350,8,8
filler_subj,5.236244131646037,4.266764745087236,6.303725920843813,350,8,8
syntax_critical,2.064115216427655,1.3602848802679806,2.823751665822883,350,8,8
syntax_filler,2.3299636184909613,1.6187171217155683,3.1118990258303225,350,8,8
b_Intercept,3.153581574011843,2.663010615734366,3.6947251129361627,350,8,9
b_syntax_dev1,0.6305914400646382,0.42875075309055855,0.8411134796151464,350,8,9
b_syntax_dev1:trial_dev1,-0.19796171115227146,-0.39336068726295226,-0.01393707529890786,350,8,9
b_trial_dev1,-0.21762843668806675,-0.5796047422492611,0.13621790906782164,350,8,9
critical_pred,2.5426568594830004,1.9085096589551318,3.213796996238525,350,8,9
critical_subj,4.199763161916819,3.4642916770782435,4.990638656132163,350,8,9
filler_pred,2.5033234084114095,1.8651777696630114,3.137510547212963,350,8,9
filler_subj,3.3685828662361432,2.692921037329789,4.0804320203644835,350,8,9
syntax_critical,1.6571063024338193,1.0933282020379729,2.263280514619072,350,8,9
syntax_filler,0.8652594578247335,0.353241492824193,1.3967174800953062,350,8,9
b_Intercept,3.3603422800245757,2.8268872279974557,3.955904279936579,350,8,10
b_syntax_dev1,0.7080035379165595,0.51741938296134,0.9045669826558548,350,8,10
b_syntax_dev1:trial_dev1,0.12752819251318603,-0.1774940205748003,0.43210265846312773,350,8,10
b_trial_dev1,-0.19955703107502912,-0.5578124995110626,0.16801492932347337,350,8,10
critical_pred,2.979423965696231,2.2853362297276405,3.7654735755316238,350,8,10
critical_subj,4.140374656502978,3.355808309517672,4.9825787310166865,350,8,10
filler_pred,2.325253518519801,1.653343082272149,3.0604664212537136,350,8,10
filler_subj,3.996316979379292,3.2484541381138228,4.823296928841022,350,8,10
syntax_critical,1.1609506908067468,0.42958319537220496,1.9112365622661533,350,8,10
syntax_filler,1.671063460859491,0.9692903372952921,2.3958258321798387,350,8,10
b_Intercept,5.09998854712736,4.24557185012902,6.086114430739027,350,8,11
b_syntax_dev1,0.529618728890533,0.24865076996221222,0.8240900456711714,350,8,11
b_syntax_dev1:trial_dev1,-0.2910437843277394,-0.5669628508061065,-0.025889100821175882,350,8,11
b_trial_dev1,0.0049835366997180415,-0.47104368363985605,0.4709989314674893,350,8,11
